Year,Location,Currency,Currency,Currency,Percent,Percent,Percent
2016,United States,1325,4776,6101,0.22,0.78,1
2016,Alabama,1510,4026,5536,0.27,0.73,1
2016,Alaska,1319,6567,7886,0.17,0.83,1
2016,Arizona,1283,4763,6046,0.21,0.79,1
2016,Arkansas,1235,4106,5341,0.23,0.77,1
2016,California,1146,4908,6054,0.19,0.81,1
2016,Colorado,1385,4587,5972,0.23,0.77,1
2016,Connecticut,1498,5047,6545,0.23,0.77,1
2016,Delaware,1407,5115,6522,0.22,0.78,1
2016,District of Columbia,1493,5011,6504,0.23,0.77,1
2016,Florida,1568,4692,6260,0.25,0.75,1
2016,Georgia,1409,4646,6055,0.23,0.77,1
2016,Hawaii,703,5160,5863,0.12,0.88,1
2016,Idaho,872,4722,5594,0.16,0.84,1
2016,Illinois,1488,4780,6268,0.24,0.76,1
2016,Indiana,1289,4841,6130,0.21,0.79,1
2016,Iowa,1259,4634,5893,0.21,0.79,1
2016,Kansas,1265,4579,5844,0.22,0.78,1
2016,Kentucky,1290,4468,5758,0.22,0.78,1
2016,Louisiana,1282,4453,5735,0.22,0.78,1
2016,Maine,1357,4855,6212,0.22,0.78,1
2016,Maryland,1494,4664,6158,0.24,0.76,1
2016,Massachusetts,1670,4951,6621,0.25,0.75,1
2016,Michigan,1236,4670,5906,0.21,0.79,1
2016,Minnesota,1380,4650,6030,0.23,0.77,1
2016,Mississippi,1400,4242,5642,0.25,0.75,1
2016,Missouri,1288,4593,5881,0.22,0.78,1
2016,Montana,1367,5075,6442,0.21,0.79,1
2016,Nebraska,1456,4632,6088,0.24,0.76,1
2016,Nevada,1235,4255,5490,0.22,0.78,1
2016,New Hampshire,1678,4959,6637,0.25,0.75,1
2016,New Jersey,1745,4747,6492,0.27,0.73,1
2016,New Mexico,1299,4941,6240,0.21,0.79,1
2016,New York,1357,5257,6614,0.21,0.79,1
2016,North Carolina,1189,4528,5717,0.21,0.79,1
2016,North Dakota,1155,5000,6155,0.19,0.81,1
2016,Ohio,1351,4940,6291,0.21,0.79,1
2016,Oklahoma,1189,4595,5784,0.21,0.79,1
2016,Oregon,1028,4946,5974,0.17,0.83,1
2016,Pennsylvania,1340,4861,6201,0.22,0.78,1
2016,Rhode Island,1614,5051,6665,0.24,0.76,1
2016,South Carolina,1361,4436,5797,0.23,0.77,1
2016,South Dakota,1200,4681,5881,0.20,0.80,1
2016,Tennessee,1230,4313,5543,0.22,0.78,1
2016,Texas,1197,4672,5869,0.20,0.80,1
2016,Utah,1162,4955,6117,0.19,0.81,1
2016,Vermont,1395,4943,6338,0.22,0.78,1
2016,Virginia,1487,4693,6180,0.24,0.76,1
2016,Washington,984,5449,6433,0.15,0.85,1
2016,West Virginia,1208,5132,6340,0.19,0.81,1
2016,Wisconsin,1401,4985,6386,0.22,0.78,1
2016,Wyoming,1195,5314,6509,0.18,0.82,1
