Year,Location,Percent
2016,United States,0.178
2016,Alabama,0.226
2016,Alaska,0.138
2016,Arizona,0.186
2016,Arkansas,0.256
2016,California,0.178
2016,Colorado,0.145
2016,Connecticut,0.144
2016,Delaware,0.164
2016,District of Columbia,0.116
2016,Florida,0.195
2016,Georgia,0.191
2016,Hawaii,0.148
2016,Idaho,0.159
2016,Illinois,0.180
2016,Indiana,0.185
2016,Iowa,0.139
2016,Kansas,0.154
2016,Kentucky,0.225
2016,Louisiana,0.219
2016,Maine,0.164
2016,Maryland,0.144
2016,Massachusetts,0.141
2016,Michigan,0.180
2016,Minnesota,0.127
2016,Mississippi,0.232
2016,Missouri,0.190
2016,Montana,0.156
2016,Nebraska,0.147
2016,Nevada,0.209
2016,New Hampshire,0.141
2016,New Jersey,0.175
2016,New Mexico,0.217
2016,New York,0.169
2016,North Carolina,0.183
2016,North Dakota,0.148
2016,Ohio,0.180
2016,Oklahoma,0.202
2016,Oregon,0.164
2016,Pennsylvania,0.166
2016,Rhode Island,0.156
2016,South Carolina,0.200
2016,South Dakota,0.130
2016,Tennessee,0.205
2016,Texas,0.183
2016,Utah,0.117
2016,Vermont,0.135
2016,Virginia,0.163
2016,Washington,0.144
2016,West Virginia,0.263
2016,Wisconsin,0.160
2016,Wyoming,0.157
2016,Guam,0.218
2016,Puerto Rico,0.343
2016,U.S. Virgin Islands,0.203
