State,abbrev,Region
Alabama,AL,East South Central
Alaska,AK,Pacific
Arizona,AZ,Mountain
Arkansas,AR,West South Central
California,CA,Pacific
Colorado,CO,Mountain
Connecticut,CT,New England
Delaware,DE,South Atlantic
District of Columbia,DC,South Atlantic
Florida,FL,South Atlantic
Georgia,GA,South Atlantic
Hawaii,HI,Pacific
Idaho,ID,Mountain
Illinois,IL,East North Central
Indiana,IN,East North Central
Iowa,IA,West North Central
Kansas,KS,West North Central
Kentucky,KY,East South Central
Louisiana,LA,West South Central
Maine,ME,New England
Maryland,MD,South Atlantic
Massachusetts,MA,New England
Michigan,MI,East North Central
Minnesota,MN,West North Central
Mississippi,MS,East South Central
Missouri,MO,West North Central
Montana,MT,Mountain
Nebraska,NE,West North Central
Nevada,NV,Mountain
New Hampshire,NH,New England
New Jersey,NJ,Middle Atlantic
New Mexico,NM,Mountain
New York,NY,Middle Atlantic
North Carolina,NC,South Atlantic
North Dakota,ND,West North Central
Ohio,OH,East North Central
Oklahoma,OK,West South Central
Oregon,OR,Pacific
Pennsylvania,PA,Middle Atlantic
Rhode Island,RI,New England
South Carolina,SC,South Atlantic
South Dakota,SD,West North Central
Tennessee,TN,East South Central
Texas,TX,West South Central
Utah,UT,Mountain
Vermont,VT,New England
Virginia,VA,South Atlantic
Washington,WA,Pacific
West Virginia,WV,South Atlantic
Wisconsin,WI,East North Central
Wyoming,WY,Mountain
